step,track,model,dataset,Memory in Mb,Time in s,Valid updates,Accuracy,F1
47,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,534.609375,0.069500375,0,0.0,
94,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,540.546875,0.1551827090006554,0,0.0,
141,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,540.890625,0.2087975840004219,0,0.0,
188,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,541.046875,0.2547833750013524,0,0.0,
235,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,541.296875,0.2999712090004323,0,0.0,
282,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,541.515625,0.3474779590014805,0,0.0,
329,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,541.703125,0.3935295000010228,0,0.0,
376,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,541.90625,0.4406763750012032,0,0.0,
423,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,542.125,0.4881345000012516,0,0.0,
470,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,542.140625,0.5355674170004932,0,0.0,
517,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,542.140625,0.5831888339998841,0,0.0,
564,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,542.15625,0.6319520840006589,0,0.0,
611,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,542.15625,0.6789267500007554,0,0.0,
658,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,542.15625,0.7243022920010844,0,0.0,
705,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,542.15625,0.7689307500004361,0,0.0,
752,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,542.15625,0.8135287090008205,0,0.0,
799,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,542.15625,0.8594635000008566,0,0.0,
846,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,542.15625,0.903456375,0,0.0,
893,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,542.171875,0.9484155000009196,0,0.0,
940,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,542.265625,0.9935759590007364,0,0.0,
987,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,542.453125,1.0392812500012951,0,0.0,
1034,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,542.65625,1.0838253750007425,0,0.0,
1081,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,542.84375,1.1288301250006043,0,0.0,
1128,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,543.046875,1.1730794590002915,0,0.0,
1175,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,543.234375,1.2177066250005737,0,0.0,
1222,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,543.421875,1.2639170000002196,0,0.0,
1269,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,543.609375,1.3092937500005064,0,0.0,
1316,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,543.8125,1.3544658750015517,0,0.0,
1363,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,544.0,1.3985131250010454,0,0.0,
1410,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,544.203125,1.4441808750016207,0,0.0,
1457,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,544.390625,1.4895638750003857,0,0.0,
1504,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,544.59375,1.5636308339999232,0,0.0,
1551,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,544.78125,1.6528210000014951,0,0.0,
1598,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,545.03125,1.6971361670002807,0,0.0,
1645,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,545.34375,1.7432122090012854,0,0.0,
1692,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,545.625,1.7876518749999375,0,0.0,
1739,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,545.953125,1.832333500000459,0,0.0,
1786,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,546.234375,1.8768902090014308,0,0.0,
1833,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,546.53125,1.9226006670014613,0,0.0,
1880,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,546.84375,1.968031709,0,0.0,
1927,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,547.140625,2.013456042001053,0,0.0,
1974,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,547.453125,2.0590650840003946,0,0.0,
2021,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,547.71875,2.103080000000773,0,0.0,
2068,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,548.046875,2.1484182920012245,0,0.0,
2115,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,548.34375,2.193215042001611,0,0.0,
2162,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,548.65625,2.2385783340014314,0,0.0,
2209,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,548.9375,2.2833027920005406,0,0.0,
2256,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,549.25,2.3283281670010183,0,0.0,
2303,Multiclass classification,AdaptiveRandomForestClassifier,imagesegments,549.53125,2.374242375000904,0,0.0,
408,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,616.46875,0.4014567089998309,0,0.0,
816,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,616.5,0.7907423340002424,0,0.0,
1224,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,616.5,1.2551943750004284,0,0.0,
1632,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,616.515625,1.647649000000456,0,0.0,
2040,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,616.5,2.0402911670007597,0,0.0,
2448,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,616.5,2.4267940839999937,0,0.0,
2856,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,616.515625,2.816357917,0,0.0,
3264,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,616.53125,3.2113207500005956,0,0.0,
3672,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,616.546875,3.6414639169997822,0,0.0,
4080,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,616.5625,4.124799625000378,0,0.0,
4488,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,616.5625,4.509619083999496,0,0.0,
4896,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,616.5625,4.896781958999782,0,0.0,
5304,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,616.5625,5.278540584000439,0,0.0,
5712,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,616.5625,5.6655918340002245,0,0.0,
6120,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,616.5625,6.05024825,0,0.0,
6528,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,616.5625,6.437573999999586,0,0.0,
6936,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,616.5625,6.825872792000155,0,0.0,
7344,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,616.5625,7.226808584000537,0,0.0,
7752,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,616.5625,7.612739833999512,0,0.0,
8160,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,616.5625,8.126512333999926,0,0.0,
8568,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,616.5625,8.510500166999918,0,0.0,
8976,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,616.5625,8.893130709000616,0,0.0,
9384,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,617.421875,9.275028916999872,0,0.0,
9792,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,619.953125,9.708916916999442,0,0.0,
10200,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,620.875,10.093894542000273,0,0.0,
10608,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,621.828125,10.474828542000978,0,0.0,
11016,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,622.765625,10.858030125000369,0,0.0,
11424,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,623.734375,11.240765709000698,0,0.0,
11832,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,624.65625,11.624578000000838,0,0.0,
12240,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,625.59375,12.008829292000884,0,0.0,
12648,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,626.578125,12.390627500000846,0,0.0,
13056,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,627.5,12.772317083999951,0,0.0,
13464,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,628.46875,13.154777959000056,0,0.0,
13872,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,629.390625,13.53655429,0,0.0,
14280,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,630.34375,13.918903542000407,0,0.0,
14688,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,631.296875,14.29824041699976,0,0.0,
15096,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,632.21875,14.678270709000572,0,0.0,
15504,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,633.203125,15.056130749999284,0,0.0,
15912,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,634.1875,15.43551745900004,0,0.0,
16320,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,635.09375,15.816356458999508,0,0.0,
16728,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,636.0625,16.29252791699946,0,0.0,
17136,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,636.984375,16.727179584000623,0,0.0,
17544,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,637.953125,17.107389083999806,0,0.0,
17952,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,638.90625,17.486548374999984,0,0.0,
18360,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,639.84375,17.869480084000315,0,0.0,
18768,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,640.78125,18.29943425000056,0,0.0,
19176,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,641.71875,18.68030437500056,0,0.0,
19584,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,642.6875,19.058850375000475,0,0.0,
19992,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,643.6875,19.48868870899969,0,0.0,
20400,Multiclass classification,AdaptiveRandomForestClassifier,keystroke,644.609375,19.863111583999853,0,0.0,
47,Multiclass classification,CSMOTE,imagesegments,590.25,0.0156895,47,0.1276595744680851,
94,Multiclass classification,CSMOTE,imagesegments,590.421875,0.021363834,47,0.1276595744680851,
141,Multiclass classification,CSMOTE,imagesegments,590.578125,0.026114792,47,0.1205673758865248,
188,Multiclass classification,CSMOTE,imagesegments,590.8125,0.032289125,47,0.1170212765957446,
235,Multiclass classification,CSMOTE,imagesegments,591.140625,0.040193875,47,0.1234042553191489,
282,Multiclass classification,CSMOTE,imagesegments,591.296875,0.04475675,47,0.1382978723404255,
329,Multiclass classification,CSMOTE,imagesegments,591.4375,0.051866959,47,0.1337386018237082,
376,Multiclass classification,CSMOTE,imagesegments,591.625,0.060128334,47,0.1382978723404255,
423,Multiclass classification,CSMOTE,imagesegments,591.796875,0.065039459,47,0.1276595744680851,
470,Multiclass classification,CSMOTE,imagesegments,591.953125,0.070232417,47,0.125531915,
517,Multiclass classification,CSMOTE,imagesegments,592.078125,0.074343667,47,0.1257253384912959,
564,Multiclass classification,CSMOTE,imagesegments,592.25,0.078337959,47,0.1329787234042553,
611,Multiclass classification,CSMOTE,imagesegments,592.375,0.083059209,47,0.132569558,
658,Multiclass classification,CSMOTE,imagesegments,592.515625,0.087071667,47,0.1382978723404255,
705,Multiclass classification,CSMOTE,imagesegments,592.65625,0.091203709,47,0.1347517730496454,
752,Multiclass classification,CSMOTE,imagesegments,599.953125,0.1599691669998719,47,0.1316489361702127,
799,Multiclass classification,CSMOTE,imagesegments,600.03125,0.1653305419986281,47,0.130162703,
846,Multiclass classification,CSMOTE,imagesegments,600.03125,0.1706913750003877,47,0.1359338061465721,
893,Multiclass classification,CSMOTE,imagesegments,600.078125,0.1757936670001072,47,0.1366181410974244,
940,Multiclass classification,CSMOTE,imagesegments,600.09375,0.1814315419997001,47,0.1361702127659574,
987,Multiclass classification,CSMOTE,imagesegments,600.125,0.1864436249998107,47,0.132725431,
1034,Multiclass classification,CSMOTE,imagesegments,600.140625,0.1914477499994973,47,0.132495164,
1081,Multiclass classification,CSMOTE,imagesegments,600.140625,0.1967582090001087,47,0.1332099907493062,
1128,Multiclass classification,CSMOTE,imagesegments,600.171875,0.2019333339994773,47,0.1312056737588652,
1175,Multiclass classification,CSMOTE,imagesegments,600.171875,0.2071757499998057,47,0.1336170212765957,
1222,Multiclass classification,CSMOTE,imagesegments,600.1875,0.2122422499996901,47,0.1309328968903437,
1269,Multiclass classification,CSMOTE,imagesegments,600.1875,0.2175868750000518,47,0.1300236406619385,
1316,Multiclass classification,CSMOTE,imagesegments,600.1875,0.2228757920001953,47,0.1322188449848024,
1363,Multiclass classification,CSMOTE,imagesegments,600.1875,0.2277992500003165,47,0.1327953044754218,
1410,Multiclass classification,CSMOTE,imagesegments,600.1875,0.2326424999992014,47,0.1312056737588652,
1457,Multiclass classification,CSMOTE,imagesegments,600.1875,0.2377705839990085,47,0.1317776252573781,
1504,Multiclass classification,CSMOTE,imagesegments,600.1875,0.2432638339996629,47,0.1316489361702127,
1551,Multiclass classification,CSMOTE,imagesegments,600.1875,0.2487310839987913,47,0.1321727917472598,
1598,Multiclass classification,CSMOTE,imagesegments,600.203125,0.2543428339995444,47,0.1332916145181477,
1645,Multiclass classification,CSMOTE,imagesegments,600.25,0.3073375419990043,47,0.1331306990881459,
1692,Multiclass classification,CSMOTE,imagesegments,600.25,0.312563167,47,0.1335697399527186,
1739,Multiclass classification,CSMOTE,imagesegments,600.25,0.3174044589995901,47,0.1334100057504312,
